venueId,time,tip
49d01698f964a520fd5a1fe3,1330481236,"Try San Francisco City Guides, who offer free <text> weekly </text> tours where you can learn about the construction and history of the bridge. Then read more for the best way to photograph the bridge."
49d01698f964a520fd5a1fe3,1310672817,The biking side is closed  until <text>September </text>. Cyclists and walkers have to share one side. Plan accordingly.
49d01698f964a520fd5a1fe3,1320072672,You can do a bike tour here. We didnt bother. Traffic was shocking and parking tricky so make sure u give yourself plenty of time.
49d01698f964a520fd5a1fe3,1307259267,Bring a jacket! It's chilly & windy most of the year
49d01698f964a520fd5a1fe3,1307259267,including <text>summer</text>. Not all of California is sunshine and rainbows all the time,)
49d01698f964a520fd5a1fe3,1366642840,Beautiful <text>morning</text>
49d01698f964a520fd5a1fe3,1303138780,"In <text>March 2008</text>, the Golden Gate Bridge District board approved a resolution to implement congestion pricing, charging higher tolls during peak hours."
49d01698f964a520fd5a1fe3,1289705407,awesome at <text>night</text> !
49d01698f964a520fd5a1fe3,1374788975,A San Fran <text>summer</text> is a lot of people's <text>winter</text>. Avg <text>yearly</text> temp 57 degrees. Bring a jacket.
49d01698f964a520fd5a1fe3,1374788975,is a lot of people's <text>winter</text>.
49d01698f964a520fd5a1fe3,1374788975,Avg <text>yearly</text> temp 57 degrees. Bring a jacket.
49d01698f964a520fd5a1fe3,1351117915,It only took us <text>45 min</text> to walk across (one way) and we paused to take pictures along the way. Really fun walk! Do it!
49d01698f964a520fd5a1fe3,1339621893,SF <text>Weekly</text> 's Best of Winner <text>2012</text> - Reader's Poll - BEST PLACE TO TAKE THE VISITORS
49d01698f964a520fd5a1fe3,1315774703,U can see the entire city on a clear day
49d01698f964a520fd5a1fe3,1312360530,"<text>Every day</text> so caffeinated, I wish they were Golden Gated... Take me to the city by the bay... If I could wish upon a shooting star I would hitch a cable car to the place that I can always call my own.."
49d01698f964a520fd5a1fe3,1312305955,"Celebrating <text>75 years</text> , <text>May 27th 2012</text>"
49d01698f964a520fd5a1fe3,1326407647,Some of San Francisco's best weather is <text>in October</text> 
49d01698f964a520fd5a1fe3,1326407647,and <text>November</text>.
49d01698f964a520fd5a1fe3,1326407647,"If you want to get some spectacular views, plan your trip for this time of the year. Take a bay cruise with Blue & Gold Fleet at Pier41"
49d01698f964a520fd5a1fe3,1406492955,"Avoid crowds, go early. Wear layers."
49d01698f964a520fd5a1fe3,1403880780,Drove through the thick fog twice <text>today</text> and this is the most we saw of the bridge. The view point is better on the north end "IF" its clear of fog
49d01698f964a520fd5a1fe3,1402771837,Took a much needed vacation and visited the bridge while in California. It was an awesome site after just seeing pictures. Enjoyed the time we spent walking on it.
49d01698f964a520fd5a1fe3,1402770540,The most beautiful views you will see when you walk or ride a bike across the bridge! You must try it at least once-
49d01698f964a520fd5a1fe3,1398565759,Take a walk on the GG Bridge you won't regret it even on the foggiest or cold days!
437e6b00f964a520b82a1fe3,1308937676,"On <text>July 14</text>, a rare opportunity to see Picassos from the Mus?e National Picasso in Paris is dressed up with cocktails, dancing and a crowd to remember."
437e6b00f964a520b82a1fe3,1304705932,"This museum, redesigned <text>in 2005</text>, offers a wide scope of artwork?t combines colonial American paintings with pottery from Africa and murals from Teotihuacan."
437e6b00f964a520b82a1fe3,1299795153,"Free <text>Friday Nights</text> at the de Young start early and end early, so be sure to get there on time to maximize your experience."
437e6b00f964a520b82a1fe3,1287681289,...enjoy the exhibitions! Also check their special events schedule for Cultural Encounters on <text>Friday Nights</text> at de Young! -> http://deyoung.famsf.org
437e6b00f964a520b82a1fe3,1277926972,<text>Each month</text> a different Bay Area artist transforms the Kimball Education Gallery into a working art studio. 
437e6b00f964a520b82a1fe3,1277926972,You can meet the artists <text>Wed-Sun from 1 to 5 p.m</text> . FREE!Powered by ParentsConnect.com
437e6b00f964a520b82a1fe3,1276136815,"Catch the post-impressionist exhibit <text>in the fall</text>! Van Goghs, Gauguins, and C?zannes."
437e6b00f964a520b82a1fe3,1256859129,"note, all the free stuff is great - sculpture garden, tower, gift store, cafe. No museum admission required to access."
437e6b00f964a520b82a1fe3,1265156269,Free on <text>every first Tuesday</text> 
437e6b00f964a520b82a1fe3,1265156269,if <text>every month</text>
437e6b00f964a520b82a1fe3,1325715479,<text>1st tuesday of every month</text> is free
437e6b00f964a520b82a1fe3,1333168615,SFFAMA had an awesome runway event during their <text>Friday Nights</text> relaunch party
437e6b00f964a520b82a1fe3,1319383653,"Built by swiss architects Herzog & de Meuron, this museum has become a hot cultural spot inside Golden Gate Park. Opens <text>everyday</text>"
437e6b00f964a520b82a1fe3,1286997809,Come on a <text>Friday night</text> when there are special events going on. 
437e6b00f964a520b82a1fe3,1286997809,Been a member for the <text>past 4 years</text> & membership is totally worth it. 
437e6b00f964a520b82a1fe3,1264876562,Cafe is always crazy at <text>lunch time</text>.
437e6b00f964a520b82a1fe3,1236972151,Go to ... deyoung museum free <text>friday</text>
437e6b00f964a520b82a1fe3,1384304430,Bvlgari exhibit actually displayed in <text>November 2013</text>. Single donation beyond tax deductible let you see the actual naim exhibits and more... $60 versus $46 fir two guests. Plus doing good!
437e6b00f964a520b82a1fe3,1369446940,"<text>Friday night</text> music @ <text>6:30pm</text>, lecture @ <text>7pm</text> , cash bar"
437e6b00f964a520b82a1fe3,1341704896,Bank of America members have a free day once a month. Check with the museum what days are scheduled
437e6b00f964a520b82a1fe3,1338032138,The observation tower on a clear-skies day makes a fabulous viewing.  Especially after priming the eyes with good stuff in the galleries.
437e6b00f964a520b82a1fe3,1319129984,Usually has good exhibits and the tower has great views of SF on a clear day.
437e6b00f964a520b82a1fe3,1271434351,College Night!!
437e6b00f964a520b82a1fe3,1270269667,"<text>First Fridays of the month in 2010</text> are free! Features Street Art of San Francisco: Mission Muralismo which includes music, interactive exhibits, and cocktails :D"
437e6b00f964a520b82a1fe3,1406332141,"The De Young Museum will host a Fair Trade Bazaar <text>today</text> . Be sure to drop by and check out products from artisans all over the world. <text>Sat, 7/26 , 9:30am-4:30pm</text> , free."
437e6b00f964a520b82a1fe3,1403732283,Come durning a <text>weekday</text> and bring a good book
437e6b00f964a520b82a1fe3,1400959091,"<text>Friday Night</text> Brazilian Carnival very cool! Free good quality show, mask art crafting activity for kids, drinks ... well organized and people were really enjoying themselves!"
437e6b00f964a520b82a1fe3,1397266854,Free <text>fridays</text> mean nothing. You still have to buy tickets!
437e6b00f964a520b82a1fe3,1394118015,Talk the opportunity to get the free day. 
437e6b00f964a520b82a1fe3,1394118015,<text>First Tuesday of every month</text> for the De Young Museum.
437e6b00f964a520b82a1fe3,1393978495,Free entrance on <text>first Tuesday of the month</text>.
437e6b00f964a520b82a1fe3,1392678248,Last day of Bulgari. Hurry!
437e6b00f964a520b82a1fe3,1391562640,Free entry <text>every first Tuesday of the month</text>!!
437e6b00f964a520b82a1fe3,1382676406,Go & get to see the "A bigger Exhibition" by David Hockney until <text>the 20th January</text>! http://hockney.famsf.org
437e6b00f964a520b82a1fe3,1375828721,"<text>First Tuesday of month</text>, free admission."
437e6b00f964a520b82a1fe3,1370908327,"Come see San Francisco? vibrant history come to life. Visit Westfield San Francisco Centre to watch a free light spectacular under the dome nightly through <text>July 7, 2013</text> !"
437e6b00f964a520b82a1fe3,1366772391,Go <text>before 4pm PST</text> and get there in time for the Tower. It's totally free and totally worth going the view is incredible!
437e6b00f964a520b82a1fe3,1361913709,"The vista from the ninth-floor observation tower is almost artwork in itself, as is the renovated, copper-clad building, which was refurbished after an earthquake <text>in 1989</text>."
437e6b00f964a520b82a1fe3,1355100207,"See Vermeer's Girl with a Pearl Earring here <text>Jan 26 to June 2, 2013</text>."
437e6b00f964a520b82a1fe3,1345211984,<text>First Tuesday of the month</text> is free admission.
437e6b00f964a520b82a1fe3,1341964032,"Corazon Under the Dome celebrates the heart and soul of San Francisco. Come discover more history, music and culture at our free light spectacular starting <text>at 5pm from now until September 3, 2012</text>!"
437e6b00f964a520b82a1fe3,1341765986,get a membership which is fully tax deductible
437e6b00f964a520b82a1fe3,1335999993, on thru <text>Aug. 2012</text> !
437e6b00f964a520b82a1fe3,1335999993,Day trip w. Dad to see the Jean Paul Gualtier fashion exibition! Now
437e6b00f964a520b82a1fe3,1333477588,<text>First Tuesday of the month</text> is free admission: get here early to avoid crowds.
437e6b00f964a520b82a1fe3,1315951326,Picasso <text>thru October</text>
437e6b00f964a520b82a1fe3,1312524282,Current Picasso exhibit is a wonderful glimpse into the artist's personal collection. Check it out before it leaves <text>October 2011</text>.
437e6b00f964a520b82a1fe3,1298081998,Member preview <text>nights</text> come with a free cocktail!
437e6b00f964a520b82a1fe3,1283472051,"The <text>Thursday night</text> $15 prix fixe in the caf? makes for a great, inexpensive date <text>night</text> !"
437e6b00f964a520b82a1fe3,1280115486,"Get a membership. I go back <text>all year</text>, also good at the Legion of Honor!"
437e6b00f964a520b82a1fe3,1272150162,Was told that the <text>last 30min</text> before closing is free. Otherwise $20
437e6b00f964a520b82a1fe3,1268262668,Free family friendly events <text>every Friday night</text>!
437e6b00f964a520b82a1fe3,1248796178,Another Architectural Gem. <text>Friday night</text> parties are in an awesome venue. Not to mention the great exibitions.
4ba294bdf964a520460638e3,1281518572,If you get your Windsor Castle ticket stamped before you leave it is valid for a <text>whole year</text>
4ba294bdf964a520460638e3,1301767783,Be sure to catch the changing of the guards <text>at 11.00 am</text>
4ba294bdf964a520460638e3,1312025123,Be sure to catch the changing of the guards <text>at 11.00 am</text>
4ba294bdf964a520460638e3,1288790253,I go there <text>every year</text> and it's always a great experience and time spending!!!
4ba294bdf964a520460638e3,1313925213,Grab a coffee and lunch to drink/eat while you are queuing up or get a pre-paid ticket
